article_id,menu_id,title,alias,path
1,1247,Home,home,home
45,650,3Play 330,3play-330-home,3play-330-home
47,651,Features,3play-330-features,3play-330-home/3play-330-features
48,653,Tech Specs,3play330-tech-specs,3play-330-home/3play330-tech-specs
51,683,Slow Motion Instant Replay,slow-motion-instant-replay,solutions/slow-motion-instant-replay
65,61,Management,management,company/management
68,64,Careers,careers,company/careers
77,667,Live Production & Streaming,live-production-a-streaming,solutions/live-production-a-streaming
77,963,Solutions (Test),solutions-test,solutions-test
85,697,Television,lw-television,solutions/3d-animation/lw-television
86,699,Feature Film,lw-feature-film,solutions/3d-animation/lw-feature-film
87,705,Print Graphics,lw-print-graphics,solutions/3d-animation/lw-print-graphics
88,707,Games & Software,lw-games-a-software,solutions/3d-animation/lw-games-a-software
90,703,Arch / Vis,lw-arch-vis,solutions/3d-animation/lw-arch-vis
97,60,About Us,about-us,company/about-us
99,668,Broadcast / Webcast,tc-broadcast-webcast,solutions/live-production-a-streaming/tc-broadcast-webcast
100,672,Education,tc-sports-education,solutions/live-production-a-streaming/tc-sports-education
101,676,Government,tc-government,solutions/live-production-a-streaming/tc-government
102,679,Worship / Venues,tc-worship-venues,solutions/live-production-a-streaming/tc-worship-venues
106,684,Broadcast,3play-broadcast-smenu,solutions/slow-motion-instant-replay/3play-broadcast-smenu
107,688,Education,3play-sportseducation-smenu,solutions/slow-motion-instant-replay/3play-sportseducation-smenu
108,692,Venues,3play-venues-smenu,solutions/slow-motion-instant-replay/3play-venues-smenu
114,685,Case Studies,3play-broadcast-case-studies-smenu,solutions/slow-motion-instant-replay/3play-broadcast-smenu/3play-broadcast-case-studies-smenu
115,686,References,3play-broadcast-reference-smenu,solutions/slow-motion-instant-replay/3play-broadcast-smenu/3play-broadcast-reference-smenu
116,687,Workflow,3play-broadcast-workflow-smenu,solutions/slow-motion-instant-replay/3play-broadcast-smenu/3play-broadcast-workflow-smenu
118,689,Case Studies,3play-sportsedu-case-studies,solutions/slow-motion-instant-replay/3play-sportseducation-smenu/3play-sportsedu-case-studies
119,690,References,3play-sportsedu-reference-smenu,solutions/slow-motion-instant-replay/3play-sportseducation-smenu/3play-sportsedu-reference-smenu
120,691,Workflow,3play-sportsedu-workflow-smenu,solutions/slow-motion-instant-replay/3play-sportseducation-smenu/3play-sportsedu-workflow-smenu
122,693,Case Studies,3play-venues-case-studies-smenu,solutions/slow-motion-instant-replay/3play-venues-smenu/3play-venues-case-studies-smenu
123,694,References,3play-venues-reference,solutions/slow-motion-instant-replay/3play-venues-smenu/3play-venues-reference
124,695,Workflow,3play-venues-workflow-smenu,solutions/slow-motion-instant-replay/3play-venues-smenu/3play-venues-workflow-smenu
134,652,Interface,3play330-interface,3play-330-home/3play330-interface
142,671,Workflow,workflow,solutions/live-production-a-streaming/tc-broadcast-webcast/workflow
143,675,Workflow,workflow,solutions/live-production-a-streaming/tc-sports-education/workflow
144,678,Workflow,workflow,solutions/live-production-a-streaming/tc-government/workflow
145,682,Workflow,workflow,solutions/live-production-a-streaming/tc-worship-venues/workflow
147,704,Case Studies,case-studies,solutions/3d-animation/lw-arch-vis/case-studies
151,708,Case Studies,case-studies,solutions/3d-animation/lw-games-a-software/case-studies
155,706,Case Studies,case-studies,solutions/3d-animation/lw-print-graphics/case-studies
159,700,Case Studies,case-studies,solutions/3d-animation/lw-feature-film/case-studies
163,698,Case Studies,case-studies,solutions/3d-animation/lw-television/case-studies
176,654,System Diagram,3play330-system-diagram,3play-330-home/3play330-system-diagram
180,701,Design,design,solutions/3d-animation/design
185,674,References,references,solutions/live-production-a-streaming/tc-sports-education/references
186,670,References,references,solutions/live-production-a-streaming/tc-broadcast-webcast/references
187,681,References,references,solutions/live-production-a-streaming/tc-worship-venues/references
188,677,References,references,solutions/live-production-a-streaming/tc-government/references
189,669,Case Studies,case-studies,solutions/live-production-a-streaming/tc-broadcast-webcast/case-studies
189,813,Miss Universe Organization taps potential of live streaming to build excitement for its pageants,miss-universe-organization-taps-potential-of-live-streaming-to-build-excitement-for-its-pageants,solutions/customer-stories/miss-universe-organization-taps-potential-of-live-streaming-to-build-excitement-for-its-pageants
190,680,Case Studies,case-studies,solutions/live-production-a-streaming/tc-worship-venues/case-studies
190,812,Northview Assembly of God Extends Outreach with Live Streaming,northview-assembly-of-god-extends-outreach-with-live-streaming,solutions/customer-stories/northview-assembly-of-god-extends-outreach-with-live-streaming
191,673,Case Studies,case-studies,solutions/live-production-a-streaming/tc-sports-education/case-studies
191,811,Valley Local High School Expands Live Sports Coverage with NewTek TriCaster,valley-local-high-school-expands-live-sports-coverage-with-newtek-tricaster,solutions/customer-stories/valley-local-high-school-expands-live-sports-coverage-with-newtek-tricaster
260,751,Warranties & Returns,warranties-a-returns,support/warranties-a-returns
289,702,Case Studies,case-studies,solutions/3d-animation/design/case-studies
312,742,TriCaster FAQ,tricaster-faq,support/certified/support-certif-get-certified-exam/tricaster-faq
341,309,Privacy Policy,privacy-policy,privacy-policy
386,623,TriCaster 460 CS,tricaster-tc460cs,products/control-surfaces/tricaster-tc460cs
387,626,TriCaster 850 TW,tricaster-tc-850-tw,products/control-surfaces/tricaster-tc-850-tw
389,631,LiveText,tricaster-livetext,products/software/tricaster-livetext
390,622,TriCaster 860 CS,tricaster-tc860cs,products/control-surfaces/tricaster-tc860cs
392,924,Virtual Set Editor (VSE2),virtual-set-editor-vse2,news-events/newsroom/media/virtual-set-editor-vse2
409,745,Certified Operator Exam Acronyms,certified-operator-exam-acronyms,support/certified/learning-resources/certified-operator-exam-acronyms
410,747,Certified Operator Directory,support-certif-get-certified-op-directory,support/certified/support-certif-get-certified-op-directory
412,746,Testing Centers,test-center-locator,support/certified/test-center-locator
422,744,Practice Exam,practice-exam,support/certified/learning-resources/practice-exam
427,726,ProTek Enhanced Support,protek,support/protek
